iter	Passed	Remaining
0	1	1473
1	2	1107
2	2	976
3	3	907
4	4	872
5	5	867
6	6	851
7	6	840
8	7	824
9	8	810
10	8	804
11	9	801
12	10	795
13	11	790
14	12	801
15	13	835
16	14	861
17	15	864
18	16	857
19	17	851
20	18	849
21	19	846
22	19	844
23	20	841
24	21	840
25	22	833
26	23	830
27	23	826
28	24	825
29	25	822
30	26	828
31	27	829
32	28	837
33	29	834
34	30	831
35	31	834
36	32	837
37	33	840
38	33	835
39	34	833
40	35	828
41	36	824
42	37	823
43	37	820
44	38	816
45	39	811
46	39	807
47	40	803
48	41	803
49	42	802
50	43	812
51	44	813
52	45	810
53	46	806
54	46	802
55	47	799
56	48	798
57	48	795
58	49	792
59	50	789
60	51	786
61	51	785
62	52	782
63	53	779
64	54	776
65	54	776
66	55	779
67	57	790
68	58	792
69	59	791
70	60	789
71	61	786
72	61	783
73	62	781
74	63	778
75	63	775
76	64	772
77	65	770
78	65	767
79	66	765
80	67	762
81	67	760
82	68	754
83	68	752
84	69	750
85	70	752
86	71	753
87	72	753
88	73	752
89	74	753
90	75	751
91	75	749
92	76	747
93	77	745
94	78	744
95	78	742
96	79	740
97	80	738
98	80	735
99	81	733
100	82	731
101	82	729
102	83	727
103	84	730
104	85	730
105	87	733
106	87	734
107	88	733
108	89	731
109	90	730
110	91	729
111	91	728
112	92	726
113	93	724
114	94	723
115	94	722
116	95	719
117	96	719
118	97	718
119	97	717
120	98	717
121	99	717
122	100	718
123	101	717
124	102	716
125	103	714
126	103	712
127	104	710
128	105	709
129	105	707
130	106	705
131	107	703
132	107	702
133	108	700
134	109	699
135	109	697
136	110	696
137	111	695
138	112	694
139	112	692
140	113	694
141	114	692
142	115	694
143	116	694
144	117	693
145	118	691
146	118	690
147	119	688
148	120	687
149	121	687
150	122	686
151	123	687
152	123	686
153	124	684
154	125	683
155	126	682
156	126	680
157	127	679
158	128	679
159	129	680
160	130	678
161	130	677
162	131	676
163	132	676
164	133	676
165	134	675
166	135	673
167	135	672
168	136	671
169	137	670
170	138	669
171	138	668
172	139	666
173	140	665
174	141	665
175	142	665
176	143	665
177	144	665
178	144	664
179	145	664
180	146	663
181	147	662
182	148	661
183	148	659
184	149	658
185	150	657
186	150	655
187	151	655
188	152	655
189	153	654
190	154	653
191	155	652
192	155	651
193	157	652
194	158	653
195	159	652
196	159	651
197	160	650
198	161	649
199	162	648
200	162	647
201	163	646
202	164	645
203	165	644
204	165	643
205	166	641
206	167	640
207	168	639
208	168	638
209	169	637
210	170	638
211	171	637
212	172	637
213	173	637
214	174	637
215	175	636
216	176	635
217	176	634
218	177	633
219	178	632
220	179	631
221	179	630
222	180	629
223	181	628
224	182	627
225	182	626
226	183	625
227	184	624
228	185	623
229	186	624
230	187	623
231	188	622
232	188	621
233	189	620
234	190	619
235	191	618
236	191	617
237	192	615
238	193	615
239	193	614
240	194	614
241	195	613
242	196	611
243	197	610
244	197	609
245	198	608
246	199	608
247	200	607
248	201	608
249	202	607
250	203	606
251	204	606
252	204	605
253	205	604
254	206	602
255	207	601
256	207	600
257	208	600
258	209	599
259	210	599
260	211	598
261	212	597
262	212	596
263	213	595
264	214	595
265	215	595
266	216	594
267	217	593
268	218	593
269	219	593
270	220	592
271	221	591
272	221	590
273	222	589
274	223	588
275	224	587
276	224	586
277	225	585
278	226	584
279	226	583
280	227	583
281	229	583
282	230	583
283	231	582
284	232	582
